# Antineutrino energy spectra in Number of antineutrinos per MeV per fission, 100 keV bins, from 0 to 10 MeV, 
# for the 4 main contributors and for irradiation durations suitable for calculations at PWRs
# or comparisons with the converted antineutrino spectra.
# These spectra have been used to produce the figures 1, 2, 3 and 4 of the present paper of the SM-2018 model.
-----------------------------------------------------------------
N(antineutrino)/MeV/fission
-----------------------------------------------------------------
Energy  U5              U5              Pu9             Pu9             Pu41            Pu41            U8
(MeV)   12h             450d            1.5d            450d            1.5d            450d            450d
----------------------------------------------------------------
7.15    0.00761159      0.00761159      0.00403838      0.00403848      0.00629632      0.00629636      0.0160393
7.25    0.00663064      0.00663064      0.00348201      0.0034821       0.00544795      0.00544798      0.0141359
7.35    0.00540415      0.00540415      0.00276719      0.00276727      0.00435199      0.00435202      0.0119205
7.45    0.00447216      0.00447216      0.00229293      0.00229299      0.00355862      0.00355865      0.0100826
7.55    0.00375163      0.00375163      0.00192503      0.00192509      0.00303306      0.00303309      0.00869629
7.65    0.00316409      0.00316409      0.0016237       0.00162375      0.00258395      0.00258397      0.00752655
7.75    0.00259961      0.00259961      0.00132222      0.00132226      0.00211776      0.00211778      0.00629344
7.85    0.00211567      0.00211567      0.00107237      0.00107239      0.00174527      0.00174528      0.00529772
7.95    0.00165224      0.00165224      0.000831228     0.000831252     0.00138831      0.00138831      0.00437444
8.05    0.00112955      0.00112955      0.000570804     0.00057082      0.00102987      0.00102987      0.00347723
8.15    0.000532037     0.000532037     0.000306585     0.000306592     0.000656087     0.000656085     0.00253939
8.25    0.000437719     0.000437719     0.000248452     0.000248458     0.000535054     0.000535053     0.00218233
8.35    0.000363362     0.000363362     0.000184632     0.000184637     0.000399224     0.000399224     0.00184939
8.45    0.000283145     0.000283145     0.000107506     0.000107511     0.000235142     0.000235143     0.00149481
8.55    0.000200826     0.000200826     6.60244e-05     6.60281e-05     0.000156689     0.00015669      0.0011828
8.65    0.000175214     0.000175214     5.72613e-05     5.72645e-05     0.000136476     0.000136477     0.00105456
8.75    0.000151641     0.000151641     4.92392e-05     4.9242e-05      0.0001181       0.000118101     0.000932433
8.85    0.000130246     0.000130246     4.19914e-05     4.19938e-05     0.000101635     0.000101636     0.000818305
8.95    0.000100634     0.000100634     2.99896e-05     2.99916e-05     7.58766e-05     7.58772e-05     0.000667809
9.05    7.78115e-05     7.78115e-05     2.36676e-05     2.36691e-05     6.19822e-05     6.19827e-05     0.000558965
9.15    6.58794e-05     6.58794e-05     1.89826e-05     1.89838e-05     4.9688e-05      4.96885e-05     0.000476918
9.25    5.67482e-05     5.67482e-05     1.59292e-05     1.59303e-05     4.16113e-05     4.16117e-05     0.00041133
9.35    4.88573e-05     4.88573e-05     1.3898e-05      1.3899e-05      3.62661e-05     3.62665e-05     0.000357173
9.45    4.15231e-05     4.15231e-05     1.19941e-05     1.19949e-05     3.1294e-05      3.12943e-05     0.000306985
9.55    3.21826e-05     3.21826e-05     9.73616e-06     9.73677e-06     2.55122e-05     2.55124e-05     0.000247957
9.65    2.75283e-05     2.75283e-05     8.39612e-06     8.39664e-06     2.19818e-05     2.1982e-05      0.000214475
9.75    2.32406e-05     2.32406e-05     7.17163e-06     7.17207e-06     1.88285e-05     1.88286e-05     0.000184161
9.85    1.81765e-05     1.81765e-05     5.74442e-06     5.74476e-06     1.52476e-05     1.52477e-05     0.000149808
9.95    1.35216e-05     1.35216e-05     4.32106e-06     4.32131e-06     1.17281e-05     1.17281e-05     0.000119033
10.05   1.22185e-05     1.22185e-05     3.92163e-06     3.92185e-06     1.05497e-05     1.05497e-05     0.000106145
