"ATUCHA-1",97.31,97.61,60.83,99.21,83.87,99.73,98.37,90.52,99.08,98.56,98.40,89.55
"EMBALSE",80.12,75.39,65.75,0.00,8.44,96.66,99.76,99.87,99.48,90.74,99.06,98.30
"ARMENIAN-2",95.46,92.43,88.87,76.22,61.47,85.09,73.42,84.51,82.30,26.45,11.87,78.44
"DOEL-1",100.92,101.11,101.56,101.75,100.49,99.62,100.34,99.26,99.77,99.95,5.33,48.15
"DOEL-2",101.51,102.40,102.19,102.13,57.29,75.79,100.56,98.84,100.05,101.46,82.12,78.40
"DOEL-3",100.39,100.83,100.60,100.45,99.92,93.33,0.00,74.32,99.46,87.79,93.09,100.44
"DOEL-4",98.53,98.95,99.51,95.44,98.52,97.43,97.28,95.28,97.82,98.44,97.49,80.26
"TIHANGE-1",101.44,99.04,29.33,45.57,55.84,96.98,97.58,96.94,91.50,90.55,100.16,101.21
"TIHANGE-2",98.32,100.66,100.18,99.30,98.75,98.00,98.70,97.95,98.32,98.95,100.08,100.26
"TIHANGE-3",72.54,98.38,99.58,93.65,99.36,94.30,98.88,90.83,24.16,58.01,96.88,64.86
"ANGRA-1",31.46,0.00,74.37,90.79,90.67,1.35,0.00,77.53,60.01,53.03,94.46,94.37
"ANGRA-2",86.27,79.23,37.66,22.37,70.17,100.00,99.03,100.14,99.87,99.61,94.95,87.48
"KOZLODUY-5",99.82,100.91,100.99,101.44,91.67,45.10,0.00,45.60,70.94,101.00,101.63,101.66
"KOZLODUY-6",99.60,99.87,100.40,100.66,95.59,97.28,96.33,97.05,25.18,1.07,95.36,102.43
"BRUCE-3",98.79,98.18,98.81,82.08,43.99,98.32,80.38,95.32,87.85,0.00,27.50,98.00
"BRUCE-4",98.36,98.20,50.06,40.52,80.64,98.04,96.85,94.03,18.18,95.09,97.60,91.11
"BRUCE-5",98.03,98.87,97.95,95.37,97.53,97.33,95.88,95.44,96.07,97.07,90.87,95.99
"BRUCE-6",60.56,0.27,0.35,65.49,98.32,56.30,99.76,72.57,99.18,99.03,99.86,99.92
"BRUCE-7",99.15,99.18,99.81,99.56,79.42,99.21,98.73,98.22,99.17,89.51,99.94,100.22
"BRUCE-8",100.00,99.10,83.18,98.95,98.68,98.54,97.70,97.26,97.36,97.50,71.94,77.66
"DARLINGTON-1",99.08,99.14,98.29,98.47,98.05,94.20,84.96,95.18,95.45,94.66,99.77,99.62
"DARLINGTON-2",99.95,100.16,100.39,100.03,99.07,99.98,98.14,96.41,65.08,0.63,35.14,98.76
"DARLINGTON-3",101.06,99.92,99.89,100.52,39.19,99.89,98.29,96.40,97.28,97.60,98.99,98.88
"DARLINGTON-4",99.84,98.49,25.63,0.00,82.61,99.62,99.65,97.52,97.06,98.07,70.22,100.11
"GENTILLY-2",92.27,97.80,96.34,97.63,96.75,96.97,95.58,94.96,88.23,75.86,2.50,0.00
"PICKERING-1",99.71,98.78,58.75,98.67,99.20,14.90,0.00,0.00,0.00,0.00,0.00,0.00
"PICKERING-4",0.00,22.61,98.52,47.31,92.94,11.91,0.00,0.00,0.00,55.00,94.37,95.80
