"ATUCHA-1",97.42,98.66,99.56,66.89,98.67,82.70,99.58,99.44,69.30,0.00,0.00,47.26
"EMBALSE",99.51,90.98,99.87,99.99,99.95,100.26,79.89,100.18,97.93,99.96,99.71,85.16
"ARMENIAN-2",94.50,91.44,72.08,69.90,80.00,83.90,72.24,83.08,84.68,1.43,55.36,95.47
"DOEL-1",102.34,102.21,101.90,101.34,84.73,97.90,83.83,90.50,71.63,46.63,101.41,100.57
"DOEL-2",102.64,102.89,102.82,94.94,13.34,100.15,86.09,93.31,97.22,80.43,101.67,102.37
"DOEL-3",100.44,100.96,100.86,100.24,97.40,46.67,7.50,97.99,98.19,99.50,100.39,100.71
"DOEL-4",96.10,99.42,99.48,98.32,97.18,94.55,94.61,96.14,96.04,84.21,0.00,57.91
"TIHANGE-1",97.20,100.53,101.00,98.90,98.14,97.59,88.23,96.62,95.25,96.98,99.38,96.38
"TIHANGE-2",90.65,83.28,100.82,99.02,98.55,97.62,93.68,11.89,20.52,96.69,88.53,99.31
"TIHANGE-3",88.76,74.42,0.00,45.18,94.85,91.61,94.82,97.21,96.95,97.69,98.07,96.69
"ANGRA-1",59.93,28.62,74.54,44.56,29.72,6.94,76.27,77.30,78.47,78.11,64.34,78.44
"ANGRA-2",2.94,83.97,89.12,99.33,97.94,100.03,94.13,94.46,97.83,97.32,97.38,97.22
"KOZLODUY-3",102.67,102.13,100.15,35.14,0.00,78.81,97.11,98.62,101.63,102.24,103.89,103.76
"KOZLODUY-4",101.70,101.40,101.65,100.93,77.06,18.81,73.47,94.28,97.22,98.54,100.27,88.34
"KOZLODUY-5",100.61,100.75,69.59,94.34,75.70,44.03,0.00,0.00,88.26,98.86,99.52,101.46
"KOZLODUY-6",100.32,100.25,99.40,75.52,72.07,84.47,96.61,97.20,7.19,0.00,17.21,100.06
"BRUCE-3",81.05,62.28,30.87,100.71,99.66,99.63,68.71,94.40,67.24,99.10,89.71,99.16
"BRUCE-4",100.69,100.48,99.67,71.32,0.00,13.57,96.60,93.03,99.16,98.22,98.70,98.67
"BRUCE-5",93.50,98.12,97.62,95.73,91.89,96.69,98.03,97.20,86.36,97.82,98.61,99.10
"BRUCE-6",93.33,99.55,99.99,100.13,97.67,98.92,98.43,99.01,98.60,99.44,99.65,99.40
"BRUCE-7",97.41,96.25,97.34,85.46,87.65,75.90,98.28,98.37,99.70,96.67,99.43,99.42
"BRUCE-8",97.75,68.35,100.24,100.36,99.96,99.82,98.63,97.76,27.07,0.00,23.85,99.42
"DARLINGTON-1",98.27,98.84,98.16,98.12,99.31,98.86,97.56,96.15,96.38,67.91,0.00,47.54
"DARLINGTON-2",99.73,98.96,99.46,94.35,98.67,99.43,97.96,96.77,94.18,98.16,99.66,100.29
"DARLINGTON-3",100.17,99.47,74.06,0.00,0.00,66.93,38.08,96.13,97.02,99.20,100.15,99.95
"DARLINGTON-4",68.19,100.53,100.78,100.68,100.03,100.01,98.89,97.10,97.66,99.30,99.84,99.95
"GENTILLY-2",97.54,96.99,97.19,96.63,96.47,94.67,84.41,91.43,21.45,17.57,98.42,99.43
"PICKERING-1",88.69,100.52,100.14,99.31,79.80,43.22,66.81,78.29,89.81,29.99,51.43,96.71
"PICKERING-4",60.09,100.04,100.19,99.37,92.95,87.71,89.69,89.00,75.66,0.42,0.00,0.00
"PICKERING-5",97.57,96.70,96.94,97.63,97.46,96.22,95.87,95.50,94.52,85.57,46.94,64.03
"PICKERING-6",0.00,76.25,98.84,100.17,100.50,100.64,99.81,98.97,97.68,100.20,99.85,63.05
"PICKERING-7",99.50,99.43,97.92,67.53,81.55,98.40,82.21,79.48,0.00,0.00,0.00,0.00
"PICKERING-8",83.56,91.85,0.00,0.00,0.00,14.59,97.10,95.48,95.77,97.80,99.14,97.84
"POINT LEPREAU",90.53,89.56,89.84,89.70,19.23,32.22,89.12,88.44,88.02,87.96,88.39,88.58
"DAYA BAY-1",98.68,100.95,26.17,0.00,48.98,89.16,99.79,99.20,99.78,99.72,100.60,100.68
"DAYA BAY-2",96.72,100.87,100.40,99.53,98.63,99.22,99.45,98.90,99.61,99.22,100.19,100.64
"LINGAO-1",82.86,0.00,90.52,101.45,99.44,94.57,100.44,99.63,100.62,100.11,100.87,102.84
"LINGAO-2",20.36,100.43,102.05,102.03,99.94,97.24,101.55,101.14,101.63,101.33,101.81,90.98
"QINSHAN-1",94.65,97.37,101.36,100.84,100.60,61.35,41.82,98.27,99.73,100.55,101.10,101.77
"QINSHAN 2-1",99.69,100.85,32.76,54.69,101.34,76.40,98.68,97.06,0.00,0.00,0.00,0.00
" QINSHAN 2-2",99.81,100.55,103.92,103.42,35.44,30.53,99.01,97.85,100.31,100.89,101.88,102.50
"QINSHAN 3-1",56.23,102.37,103.98,104.07,103.19,100.64,98.97,97.47,100.60,101.84,103.29,103.83
"QINSHAN 3-2",99.89,101.60,101.54,103.88,103.11,100.54,98.65,97.98,93.58,0.00,58.20,104.29
" TIANWAN-1",0.00,0.00,0.00,0.00,0.67,7.64,4.44,35.08,10.14,27.25,17.22,64.65
"CHINSHAN-1",99.83,100.70,100.55,97.95,97.53,97.66,96.14,97.29,97.32,97.69,98.60,98.68
"CHINSHAN-2",102.03,101.59,101.74,100.13,99.39,99.30,97.47,89.48,7.46,66.28,88.19,101.28
"KUOSHENG-1",98.89,75.63,8.18,7.14,94.14,98.22,96.57,98.47,97.85,96.45,98.30,95.97
"KUOSHENG-2",82.03,83.50,98.18,98.65,97.27,98.21,94.17,96.10,96.54,95.42,97.25,98.95
"MAANSHAN-1",100.60,100.75,84.12,93.43,0.00,60.69,96.59,101.20,100.97,101.20,101.40,101.69
