"ATUCHA-1",80.12,87.39,97.72,98.81,76.65,98.65,99.69,99.44,46.04,41.44,62.96,62.25
"ATUCHA-2",84.29,93.30,50.93,0.00,0.00,0.00,0.00,71.76,99.67,99.21,70.74,95.66
"EMBALSE",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"ARMENIAN-2",93.34,95.42,88.99,85.57,25.03,0.00,68.69,86.45,88.12,91.44,68.63,89.66
"DOEL-1",100.35,100.34,99.94,99.45,99.28,58.00,35.88,98.27,98.81,99.46,99.32,95.68
"DOEL-2",100.22,100.58,100.83,96.26,48.28,40.79,97.86,98.50,99.25,99.85,100.27,97.48
"DOEL-3",101.77,101.98,100.55,100.18,95.15,99.57,99.47,99.72,72.84,0.00,0.00,0.00
"DOEL-4",89.36,100.46,75.79,0.00,63.62,91.74,97.95,70.57,98.88,99.48,98.06,100.49
"TIHANGE-1",0.00,0.00,0.00,0.00,33.65,96.82,96.87,97.12,38.26,0.00,17.03,101.59
"TIHANGE-2",101.36,101.20,98.41,0.00,2.02,67.37,95.59,99.02,100.47,100.69,101.62,101.66
"TIHANGE-3",100.17,100.27,100.17,99.84,98.66,96.71,96.97,97.24,98.60,99.07,96.71,98.65
"ANGRA-1",99.61,99.48,100.34,100.50,84.14,59.84,85.87,57.46,0.00,36.04,100.01,70.14
"ANGRA-2",95.67,84.43,83.55,99.94,100.97,100.94,100.61,99.82,100.81,100.96,100.74,100.48
"KOZLODUY-5",102.72,102.84,102.94,67.14,0.00,69.64,95.86,99.51,100.55,102.11,102.95,103.20
"KOZLODUY-6",100.84,101.27,101.51,101.40,101.10,99.38,98.06,98.47,44.51,16.19,100.07,105.48
"BRUCE-1",98.52,91.62,102.07,101.76,99.89,98.79,59.86,100.77,100.67,101.54,101.89,102.39
"BRUCE-2",101.48,94.03,97.80,100.33,96.36,92.82,99.39,100.82,101.21,94.35,87.47,101.82
"BRUCE-3",104.20,104.18,104.14,100.57,95.30,94.75,97.13,3.00,1.81,95.59,102.07,103.13
"BRUCE-4",84.49,104.93,104.83,91.09,62.70,99.55,98.14,94.08,99.81,102.02,103.88,86.33
"BRUCE-5",100.00,10.14,0.00,0.00,52.40,95.73,93.20,98.07,95.66,96.55,98.80,97.98
"BRUCE-6",100.12,91.37,98.23,98.88,95.33,96.85,98.45,99.14,25.58,0.00,58.40,100.09
"BRUCE-7",97.63,94.76,100.28,92.75,88.78,74.44,93.33,76.92,98.96,96.58,99.19,100.23
"BRUCE-8",100.33,100.21,100.41,95.23,93.65,92.58,96.70,98.00,96.52,98.63,99.61,100.59
"DARLINGTON-1",99.94,47.93,19.16,0.00,0.00,5.42,74.70,97.12,86.05,96.14,100.29,94.15
"DARLINGTON-2",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"DARLINGTON-3",97.62,98.55,97.95,87.14,98.98,99.15,96.44,96.78,97.12,97.16,60.06,98.91
"DARLINGTON-4",101.23,100.48,101.47,100.77,89.19,101.33,97.04,98.29,97.76,98.60,99.05,99.77
"PICKERING-1",98.46,98.28,98.50,95.65,81.81,95.15,93.15,35.45,0.00,0.00,0.00,0.00
"PICKERING-4",12.05,88.90,85.29,96.06,95.09,98.71,95.69,98.67,93.68,93.94,97.43,99.33
"PICKERING-5",97.81,5.46,0.00,0.00,0.00,80.69,96.23,95.61,93.78,95.46,97.68,97.73
"PICKERING-6",99.34,99.88,99.69,99.91,99.87,99.64,97.81,98.22,84.28,98.56,99.85,100.03
"PICKERING-7",55.78,100.34,76.09,96.98,87.29,100.02,97.86,98.44,97.69,98.91,77.95,11.53
"PICKERING-8",100.58,92.71,99.81,97.30,95.61,92.37,97.13,97.24,96.73,21.92,38.60,97.72
"POINT LEPREAU",98.28,100.35,100.65,21.98,77.74,99.57,99.73,87.79,99.17,88.31,97.78,97.69
"CHANGJIANG-1",28.84,0.00,11.82,74.99,79.64,86.92,84.88,82.24,82.91,77.16,78.19,84.39
"CHANGJIANG-2",74.39,64.59,73.57,72.76,77.93,75.19,75.53,74.15,76.95,61.45,52.92,0.00
"DAYA BAY-1",100.07,101.52,101.52,101.45,101.43,100.86,100.52,100.88,100.39,100.39,100.29,101.45
"DAYA BAY-2",100.12,101.53,101.49,101.35,100.85,100.10,99.78,100.04,99.47,44.61,19.82,101.34
