"ATUCHA-1",92.15,91.21,93.77,94.49,95.72,91.69,95.38,15.07,33.29,97.23,97.57,97.68
"ATUCHA-2",86.70,92.22,68.61,94.99,98.47,93.31,84.12,88.71,89.68,96.12,80.47,54.21
"EMBALSE",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"ARMENIAN-2",93.66,91.71,89.34,86.37,65.81,89.12,87.74,86.11,52.29,0.00,0.00,57.80
"DOEL-1",91.71,96.90,100.57,36.34,35.74,98.86,98.46,98.16,74.62,29.37,91.04,100.04
"DOEL-2",100.79,101.24,99.34,24.34,0.00,32.20,99.75,99.42,99.01,99.91,100.88,100.70
"DOEL-3",80.07,101.10,101.31,91.85,100.50,99.60,98.30,98.65,98.13,44.25,0.00,75.72
"DOEL-4",99.29,91.58,88.02,99.91,99.37,98.60,97.36,91.58,97.33,99.71,98.28,100.23
"TIHANGE-1",100.75,77.01,62.03,97.54,0.00,0.00,0.00,50.61,22.11,0.00,0.00,0.00
"TIHANGE-2",101.45,101.77,102.06,101.82,101.32,74.91,87.35,98.59,94.43,100.09,100.78,101.23
"TIHANGE-3",100.43,100.40,100.45,100.52,99.75,96.91,98.43,97.92,33.78,3.50,99.99,99.83
"ANGRA-1",99.85,99.79,99.86,98.93,100.38,56.83,25.40,96.13,101.03,100.82,99.59,100.28
"ANGRA-2",100.67,99.80,100.13,99.49,100.93,101.40,101.61,101.56,101.35,100.99,41.07,39.91
"KOZLODUY-5",101.94,98.97,95.66,22.38,48.38,100.98,97.04,100.33,100.52,101.55,102.31,102.35
"KOZLODUY-6",102.07,99.93,102.04,101.93,101.18,100.92,98.62,100.32,92.99,0.14,67.24,100.66
"BRUCE-1",101.51,101.24,101.31,101.37,12.83,93.46,96.79,99.60,101.45,101.78,101.87,88.90
"BRUCE-2",101.49,101.10,97.86,0.00,0.00,34.79,100.27,81.16,99.22,99.73,100.92,58.87
"BRUCE-3",102.35,89.26,97.81,100.83,2.43,0.00,6.45,99.71,101.67,102.49,103.73,104.21
"BRUCE-4",103.17,100.06,96.95,101.26,42.84,103.74,100.96,21.23,101.62,64.63,103.57,106.78
"BRUCE-5",96.88,85.09,91.40,98.14,88.72,96.77,97.08,98.03,80.64,97.39,97.52,99.10
"BRUCE-6",98.74,96.47,84.77,98.45,90.92,97.68,98.11,87.16,97.94,99.49,100.14,100.15
"BRUCE-7",96.43,95.24,92.53,94.14,99.18,97.51,96.36,98.06,27.85,0.00,0.00,35.76
"BRUCE-8",45.10,0.00,0.00,15.71,89.91,98.37,97.80,99.03,96.41,96.99,99.68,99.88
"DARLINGTON-1",98.99,98.03,99.58,99.64,100.27,99.82,97.95,90.79,94.86,97.74,99.67,100.68
"DARLINGTON-2",97.90,97.00,96.15,95.63,93.81,97.00,92.73,85.61,95.07,41.64,0.00,0.00
"DARLINGTON-3",83.13,99.96,89.98,98.69,100.68,100.22,98.31,79.33,28.31,94.77,72.75,98.26
"DARLINGTON-4",100.38,100.20,99.93,23.95,0.00,0.00,81.54,95.32,96.56,98.43,100.51,100.79
"PICKERING-1",96.28,95.17,98.70,81.11,97.08,96.88,95.26,90.62,83.77,90.19,93.58,98.42
"PICKERING-4",21.88,0.00,0.00,0.00,13.34,99.36,81.71,81.60,96.27,70.12,93.96,91.88
"PICKERING-5",99.05,98.95,99.05,97.62,95.41,98.25,97.08,94.61,92.12,85.69,97.50,97.15
"PICKERING-6",31.68,99.92,100.55,100.51,100.15,99.54,86.60,84.23,92.83,83.64,92.64,87.28
"PICKERING-7",67.95,98.52,99.33,100.19,99.72,98.98,81.71,95.28,1.45,0.00,0.00,0.00
"PICKERING-8",100.27,99.31,0.96,0.00,0.00,0.00,0.00,0.00,83.97,98.89,100.53,100.94
"POINT LEPREAU",99.87,100.12,100.01,2.24,0.00,53.14,98.96,100.07,99.76,86.29,99.63,100.97
"CEFR",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CHANGJIANG-1",76.05,60.08,32.43,74.27,72.87,71.49,72.13,72.16,74.94,63.85,73.80,78.27
"CHANGJIANG-2",0.00,0.00,0.00,0.00,0.00,8.90,46.21,71.10,75.81,62.12,77.41,78.68
"DAYA BAY-1",101.77,100.41,101.84,101.42,99.39,100.56,100.58,100.68,100.12,58.50,0.00,81.20
"DAYA BAY-2",101.71,100.25,101.66,47.39,4.95,98.08,100.19,100.21,100.00,99.96,100.30,100.92
"FANGCHENGGANG-1",98.03,51.88,84.33,55.04,92.84,87.67,58.47,61.03,83.16,98.14,101.18,102.05
"FANGCHENGGANG-2",0.00,0.00,0.00,0.00,0.00,0.00,23.37,26.61,47.60,63.17,106.62,104.12
"HONGYANHE-1",75.85,56.90,0.00,75.15,48.74,71.60,95.16,92.57,40.08,56.26,96.69,72.25
"HONGYANHE-2",76.17,17.09,83.54,0.00,76.71,96.81,96.64,95.35,96.03,38.97,0.00,0.00
"HONGYANHE-3",0.00,0.00,39.81,72.03,43.73,64.83,96.37,92.49,90.82,93.62,98.88,12.68
"HONGYANHE-4",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.70,99.00
"LINGAO-1",98.44,93.96,100.75,99.43,99.23,99.22,99.27,99.32,98.90,98.53,99.51,100.00
"LINGAO-2",94.27,55.37,100.87,99.23,98.40,97.96,99.63,97.86,89.54,0.00,73.65,94.42
"LINGAO-3",95.42,1.11,101.11,100.23,99.63,98.74,100.70,99.01,94.96,86.87,101.11,101.64
"LINGAO-4",99.75,97.61,102.59,3.21,50.59,98.27,100.12,97.47,97.02,97.94,30.00,101.63
"NINGDE-1",85.09,2.30,64.17,80.82,34.91,88.01,91.19,97.43,75.38,85.05,99.68,100.39
"NINGDE-2",87.55,74.47,48.22,0.00,56.82,82.79,94.09,96.26,85.60,0.00,39.86,100.40
"NINGDE-3",82.24,13.49,94.30,84.95,95.33,15.99,0.00,44.06,89.16,96.49,98.78,99.00
"NINGDE-4",0.00,0.00,0.00,0.00,0.00,0.00,34.64,96.23,71.89,90.71,99.46,100.45
