FUQING-5,100.133,60.428,100.017,96.176,98.793,96.415,95.309,96.68,58.448,51.922,99.171,99.891,87.934
FUQING-6,99.507,93.187,99.8,99.124,47.6,44.226,95.254,96.504,96.904,98.088,98.958,99.796,89.103
HAIYANG-1,102.73,101.546,103.714,103.205,105.152,101.944,104.089,102.977,90.52,23.167,102.869,102.865,95.318
HAIYANG-2,101.912,99.672,96.747,94.484,76.199,105.717,104.421,92.598,14.843,98.117,102.424,99.436,90.62
HONGYANHE-1,98.872,44.094,93.321,85.098,71.072,89.886,93.794,67.267,92,85.467,90.124,97.031,84.163
HONGYANHE-2,98.741,91.087,93.561,90.694,84.416,88.715,93.66,93.235,59.362,2.562,98.113,91.704,82.083
HONGYANHE-3,98.974,91.489,91.62,90.2,87.149,19.293,76.438,93.977,92.713,89.813,88.808,90.989,84.375
HONGYANHE-4,99.508,92.256,99.53,99.308,98.455,93.04,94.374,93.013,94.811,96.007,98.14,99.303,96.503
HONGYANHE-5,99.517,6.392,86.647,92.669,85.567,90.069,94.387,94.044,92.816,90.015,90.436,90.864,84.802
HONGYANHE-6,99.049,90.566,93.246,90.694,85.62,89.26,94.942,94.77,92.529,87.475,12.514,99.924,86.017
LINGAO-1,98.933,90.709,100.604,100.088,99.875,98.744,98.85,99.653,98.34,96.183,99.836,61.658,95.271
LINGAO-2,95.381,61.181,100.582,100.055,98.572,98.615,98.774,99.407,94.886,29.055,99.949,97.692,89.57
LINGAO-3,72.369,15.056,101.633,100.549,100.318,98.918,99.385,100.298,99.325,97.939,100.876,99.802,90.849
LINGAO-4,96.428,89.255,101.823,46.9,36.478,100.224,99.623,100.668,99.308,97.332,101.201,99.36,89.072
NINGDE-1,99.987,99.991,99.997,99.989,99.999,99.987,100,99.987,29.705,99.932,100,99.998,94.227
NINGDE-2,99.992,13.86,0,92.776,99.224,99.99,100,99.98,99.997,99.973,99.991,100,84.04
NINGDE-3,50.313,99.967,99.998,99.046,99.988,99.992,99.989,99.998,99.992,99.957,95.564,99.997,95.34
NINGDE-4,99.996,99.99,99.16,99.997,99.989,99.996,100,99.989,99.999,99.997,99.992,99.997,99.924
QINSHAN 2-1,101.603,101.586,101.646,61.228,52.972,101.531,99.492,97.117,99.266,101.436,101.419,101.642,93.395
QINSHAN 2-2,101.104,97.309,101.094,100.823,100.373,100.972,99.429,97.273,99.222,100.917,101.06,101.371,100.089
QINSHAN 2-3,101.055,97.017,100.423,101.303,101.121,100.764,98.104,96.131,76.325,54.902,101.432,101.274,94.13
QINSHAN 2-4,101.262,100.974,32.646,101.399,101.425,100.737,98.317,96.348,98.009,100.835,101.336,101.14,94.437
QINSHAN 3-1,100.026,95.56,99.955,98.843,97.517,97.614,94.914,93.256,94.971,98.441,99.575,100.171,97.579
QINSHAN 3-2,99.457,95.311,99.64,29.558,75.113,97.246,94.364,92.802,94.72,98.163,99.272,99.699,89.684
QINSHAN-1,99.058,93.527,100.418,100,99.331,0.658,14.664,92.056,94.963,98.288,100.043,100.238,82.808
SANMEN-1,100,95.501,100,100,40.925,91.974,96.936,96.038,96.47,98.536,99.991,100,92.973
SANMEN-2,99.842,95.884,99.999,94.888,97.644,84.295,97.113,96.096,96.629,95.989,99.999,100,96.563
SHIDAO BAY-1,79.526,12.039,10.235,10.997,19.517,27.43,38.073,38.492,0.097,0,0,9.517,20.659
TAISHAN-1,89.796,71.649,89.482,88.49,88.339,87.812,87.412,88.209,87.273,88.455,89.25,89.788,87.236
TAISHAN-2,90.604,76.674,90.657,51.284,0,0,64.545,90.062,89.644,90.211,90.967,91.489,68.921
TIANWAN-1,98.838,57.633,97.144,90.432,87.559,98.674,98.322,97.404,97.946,90.603,0,85.827,83.633
TIANWAN-2,99.843,90.033,0.023,75.751,96.569,97.971,97.391,97.167,94.833,76.372,95.032,97.748,84.801
TIANWAN-3,99.161,89.467,97.222,99.063,93.234,94.491,92.064,91.17,91.123,0.152,78.292,89.344,84.471
TIANWAN-4,100.631,72.867,100.017,99.517,90.864,93.498,91.76,91.41,89.258,80.92,96.073,99.334,92.258
TIANWAN-5,100.261,99.158,100.157,99.854,98.521,19.478,95.817,95.224,95.883,98.349,99.374,100.159,91.957
TIANWAN-6,98.882,63.995,98.798,91.856,83.773,95.645,92.284,95.343,92.592,88.001,94.991,97.031,91.218
YANGJIANG-1,103.805,25.198,20.973,103.051,101.372,101.217,101.202,102.29,100.721,96.48,103.747,103.667,88.842
YANGJIANG-2,99.844,91.641,102.786,101.664,101.519,100.165,100.383,101.565,99.803,97.699,101.947,102.595,100.172
YANGJIANG-3,99.7,87.874,103.141,102.158,101.141,100.406,100.507,101.122,13.543,98.091,100.993,103.489,92.853
YANGJIANG-4,85.749,14.751,103.788,98.388,100.75,100.936,101.099,102.042,100.131,96.708,102.954,102.656,92.832
YANGJIANG-5,103.595,102.728,103.684,102.756,102.656,101.956,101.108,102.142,101.2,98.796,102.987,103.511,102.258
YANGJIANG-6,102.819,70.02,103.36,102.224,101.902,100.765,100.266,101.457,100.815,98.598,29.058,103.363,93.118
DUKOVANY-1,100.633,100.168,98.278,98.17,96.842,96.186,96.175,46.132,0,18.301,100.532,100.79,77.673
DUKOVANY-2,99.057,98.664,98.458,98.093,69.545,0,0,87.457,99.307,98.486,100.05,99.994,77.923
DUKOVANY-3,56.842,0,0,87.934,98.856,98.57,96.756,95.86,97.883,99.557,100.766,100.858,77.627
DUKOVANY-4,100.339,100.425,100.153,98.812,97.986,97.312,96.77,96.485,98.208,99.914,100.56,72.638,96.59
TEMELIN-1,99.013,101.851,88.297,16.294,0,57.282,93.726,84.642,99.13,101.181,101.17,101.318,78.643
TEMELIN-2,96.916,86.272,98.858,99.705,100.9,87.358,91.87,73.169,98.993,35.076,0,79.853,79.124
LOVIISA-1,99.27,98.851,99.367,98.61,97.351,97.405,94.808,91.344,0,65.387,97.907,98.589,86.646
LOVIISA-2,98.485,99.365,99.808,99.219,98.077,97.991,93.98,18.647,95.244,97.149,84.558,98.868,90.021
OLKILUOTO-1,100.574,100.264,99.961,100.326,37.676,34.089,97.62,98.016,98.431,99.64,100.215,100.532,88.946
OLKILUOTO-2,100.463,99.246,100.507,92.743,70.309,98.393,97.298,96.572,26.826,67.789,82.603,82.548,84.628
OLKILUOTO-3,99.099,95.163,3.891,0,40.937,83.638,89.692,81.894,93.291,85.147,79.63,88.893,70.036
BELLEVILLE-1,93.711,98.466,92.684,78.773,80.068,73.195,85.579,82.65,83.806,71.085,95.613,94.982,85.846
BELLEVILLE-2,93.277,97.041,91.916,94.987,95.768,61.625,3.436,88.916,84.24,88.964,93.217,91.927,82.012
BLAYAIS-1,101.346,101.372,100.219,82.757,0,0,0,0,56.732,99.353,89.804,96.449,60.483
BLAYAIS-2,0,0,1.043,49.625,85.416,98.957,94.838,77.632,85.908,59.089,95.827,99.362,62.434
BLAYAIS-3,100.68,93.409,95.393,98.579,103.987,24.043,0,0,0,0,0,9.034,43.621
BLAYAIS-4,100.631,6.78,0,4.495,80.252,86.587,85.656,92.377,89.622,97.919,97.955,81.661,68.999
BUGEY-2,98.525,98.298,79.14,93.061,95.471,87.633,96.959,83.536,90.534,49.288,99.309,98.896,89.13
BUGEY-3,0,0,0,0,0,0,0,0,63.978,99.126,91.811,87.517,28.589
BUGEY-4,90.666,96.423,23.001,0,0,0,54.005,84.78,76.809,94.444,96.036,97.822,59.483
BUGEY-5,0.002,99.532,99.414,94.738,96.573,64.35,87.427,5.733,0,0,63.487,86.297,57.919
CATTENOM-1,78.249,90.833,61.947,52.678,2.443,0,0,50.134,62.45,85.839,96.359,99.17,56.533
CATTENOM-2,96.64,95.147,91.716,72.288,82.869,83.122,79.402,88.761,90.221,11.855,28.128,89.59,75.778
CATTENOM-3,92.11,90.142,85.559,21.201,68.362,64.803,76.742,61.429,83.713,85.956,97.578,96.588,77.055
CATTENOM-4,92.881,46.236,0,0,0,0,0,60.729,66.026,83.929,80.044,59.332,40.791
CHINON B-1,0,0,0,0,32.496,89.827,85.541,87.319,89.27,88.692,92.678,97.238,55.428
CHINON B-2,85.428,93.372,89.985,84.929,93.041,93.767,51.78,0,0,0,65.62,100.166,63.022
CHINON B-3,96.353,31.196,0,65.389,90.077,85.646,96.308,67.52,0,76.599,98.699,98.771,67.471
CHINON B-4,93.502,31.671,0,0,8.692,90.905,81.635,80.84,85.043,86.067,95.171,96.28,62.604
CHOOZ B-1,52.441,43.639,18.93,67.209,86.559,97.176,15.246,14.503,96.71,97.822,100.072,96.947,65.464
CHOOZ B-2,99.345,74.593,0,0,0,12.572,89.35,96.209,51.003,63.663,89.29,56.276,52.738
CIVAUX-1,99.752,99.049,98.605,79,0,0,14.711,84.224,88.753,86.967,96.239,83.136,69.074
CIVAUX-2,99.288,28.728,24.831,92.464,95.242,95.802,92.89,91.321,91.606,94.268,93.832,100.338,83.581
CRUAS-1,98.922,80.458,97.849,96.812,95.336,95.707,96.89,68.966,7.185,96.282,99.245,99.27,86.231
CRUAS-2,0,70.304,87.795,75.861,81.639,69.747,81.188,90.742,91.054,65.297,98.702,98.048,75.805
CRUAS-3,100.141,98.978,96.425,90.068,95.429,93.008,91.014,11.593,0,0,0,0,56.261
CRUAS-4,99.491,99.085,98.778,38.701,0,0,22.4,94.729,69.684,77.277,94.874,94.288,65.755
DAMPIERRE-1,96.778,97.918,96.455,85.49,40.575,17.827,94.18,48.765,93.693,97.642,79.956,99.193,79.043
DAMPIERRE-2,81.564,5.835,0,0,44.726,95.507,90.723,95.056,93.412,83.065,86.543,98.404,64.853
DAMPIERRE-3,0,0,81.36,73.932,68.498,93.118,89.587,56.204,95.698,95.651,94.449,101.579,71.027
DAMPIERRE-4,94.892,100.088,96.248,80.361,92.611,88.17,36.903,0,0,0,0,22.858,50.829
FLAMANVILLE-1,69.584,80.349,95.017,85.443,96.325,85.001,93.573,94.016,61.75,95.648,74.769,15.278,78.912
FLAMANVILLE-2,98.645,77.639,-0.332,0,0,0,0,0,48.643,97.638,87.255,88.064,41.358
FLAMANVILLE-3,0,0,0,0,0,0,0,0,0,0,0,0,0
GOLFECH-1,45.968,98.263,96.71,91.081,92.315,94.618,90.042,81.842,94.515,38.976,98.584,99.522,85.021
GOLFECH-2,77.642,81.53,88.738,64.643,50.968,55.068,21.464,0,44.875,83.287,83.228,85.157,61.266
GRAVELINES-1,94.967,92.807,98.817,97.858,97.813,95.987,96.641,49.331,0,9.984,95.887,98.311,77.326
GRAVELINES-2,0,0,70.443,79.305,84.856,80.535,97.415,96.924,97.746,98.74,99.319,99.788,75.687
GRAVELINES-3,89.096,96.173,92.863,82.646,88.485,63.637,96.198,96.754,91.792,11.044,0,0,67.31
GRAVELINES-4,53.069,0,0,0,0,0,0,0,74.299,102.531,102.746,100.524,36.217
GRAVELINES-5,97.284,99.274,92.376,89.183,88.908,97.252,78.397,0,0,0,67.439,100.809,67.438
GRAVELINES-6,98.633,100.683,101.85,16.899,65.475,90.977,92.606,86.882,96.386,99.145,98.143,101.051,87.45
NOGENT-1,99.433,99.05,91.764,86.046,92.461,82.234,48.51,96.044,94.302,96.277,98.883,99.667,90.343
NOGENT-2,98.422,98.271,96.674,86.063,90.194,84.962,91.062,92.365,40.415,0,1.871,91.265,72.69
PALUEL-1,84.055,93.463,94.193,77.802,90.341,0,0,0.001,77.772,91.043,93.49,96.848,66.484
PALUEL-2,91.372,5.431,0,0,0,29.75,87.679,79.558,92.898,92.823,96.261,93.482,56.068
PALUEL-3,92.936,97.648,97.048,87.859,59.228,0,6.859,84.276,94.197,94.402,2.782,0,59.711
PALUEL-4,96.764,73.878,96.335,86.287,68.767,89.332,86.417,84.192,47.653,89.354,95.314,86.389,83.482
PENLY-1,98.99,99.271,96.695,95.271,96.298,92.269,96.308,93.859,0,0,0,48.696,68.189
PENLY-2,98.267,99.061,98.84,93.607,90.044,89.681,92.933,88.571,66.36,0,0,0,67.996
ST. ALBAN-1,94.762,86.23,96.066,91.089,92.599,91.456,91.903,44.94,0,41.067,97.384,95.792,76.96
ST. ALBAN-2,98.545,91.171,21.741,4.577,89.769,87.225,86.097,79.073,86.13,88.169,91.075,90.79,76.22
ST. LAURENT B-1,0,54.459,92.736,91.13,90.234,73.481,92.958,92.814,72.253,91.41,95.437,96.929,78.737
ST. LAURENT B-2,61.529,86.997,92.222,91.298,53.211,72.044,91.801,47.272,0,0,19.855,97.365,59.455
TRICASTIN-1,80.283,86.667,77.529,38.66,37.449,62.835,75.532,78.533,86.555,91.68,92.393,84.786,74.39
TRICASTIN-2,102.908,103.196,102.668,102.713,9.901,46.277,74.335,69.118,83.241,102.326,103.282,95.025,82.795
TRICASTIN-3,95.178,98.158,94.558,73.55,90.217,88.255,94.539,96.002,7.197,0,0,67.611,67.197
TRICASTIN-4,51.312,0,0,0,0,0,41.502,81.674,85.47,88.451,97.941,91.358,45.053
PAKS-1,96.338,101.903,96.011,102.062,99.9,99.274,98.44,95.913,99.79,90.299,102.078,102.34,98.654
PAKS-2,102.063,102.038,100.728,100.548,28.508,78.746,94.879,93.457,98.195,99.758,100.919,101.263,91.671
PAKS-3,100.881,101.576,101.227,100.019,98.937,98.688,97.61,68.58,25.659,70.905,102.248,102.495,89.078
PAKS-4,99.933,27.666,-0.369,62.811,97.455,97.281,95.897,88.645,97.684,100.168,100.79,101.346,80.98
KAIGA-1,88.04,95.938,94.773,93.288,92.162,93.073,95.25,94.673,92.637,91.636,92.413,90.864,92.879
KAIGA-2,99.768,99.568,99.408,96.667,92.857,93.904,96.846,96.046,69.542,95.844,95.668,95.445,94.327
KAIGA-3,97.051,106.285,106.294,105.743,105.26,96.384,106.885,106.265,105.724,88.955,105.236,105.27,102.924
KAIGA-4,89.42,107.143,107.052,106.567,105.918,106.318,107.298,106.554,106.098,106.165,105.785,26.229,98.246
KAKRAPAR-1,101.67,101.154,100.712,98.345,96.853,4.338,30.314,97.929,97.873,98.14,101.29,103.148,86.013
KAKRAPAR-2,101.556,100.497,99.566,97.071,95.095,94.09,73.652,98.98,98.996,98.622,101.469,102.541,96.813
KAKRAPAR-3,53.09,74.387,73.566,91.366,76.617,92.875,94.587,95.411,46.304,0,0.26,82.537,65.113
KAKRAPAR-4,0,4.212,14.641,39.693,22.91,79.128,50.096,95.653,96.893,82.379,86.727,94.276,64.158
KUDANKULAM-1,91.115,0,0,43.161,101.207,103.551,103.56,103.496,101.977,93.204,101.119,102.694,79.092
KUDANKULAM-2,102.424,99.685,100.234,102.273,38.676,0,67.358,101.521,96.98,100.76,103.682,101.487,84.604
MADRAS-2,102.305,100.3,98.956,95.524,96.913,98.659,99.011,97.885,97.108,52.37,100.091,101.105,94.959
NARORA-1,101.172,100.141,98.278,94.946,91.331,86.751,91.012,91.285,90.986,93.554,96.913,100.161,94.706
NARORA-2,8.065,101.606,100.287,98.329,96.235,94.926,94.865,95.257,95.758,98.478,100.715,102.297,90.433
RAJASTHAN-2,92.544,101.145,92.93,86.112,79.957,89.617,94.311,94.913,95.732,96.227,72.754,95.396,90.968
RAJASTHAN-3,0,0,0,0,0,0,5.996,79.774,9.993,60.25,88.696,89.747,28.059
RAJASTHAN-4,66.805,93.85,76.826,81.164,86.168,83.853,86.193,87.006,86.738,88.104,59.544,0,74.548
RAJASTHAN-5,97.287,105.831,96.679,46.61,101.448,101.097,101.212,101.848,101.463,102.15,103.999,105.609,97.151
RAJASTHAN-6,95.432,105.135,96.583,99.232,99.355,98.973,99.273,99.734,99.561,100.116,101.898,103.399,99.862
TARAPUR-3,34.462,7.819,99.504,99.212,99.5,99.247,99.472,99.513,99.44,96.782,99.087,99.713,86.431
TARAPUR-4,101.309,101.531,94.879,101.237,101.426,101.188,101.525,90.471,101.547,101.295,101.519,67.98,97.089
BUSHEHR-1,103.86,103.771,103.721,34.013,0,40.796,98.39,98.18,78.478,91.715,103.637,104.266,80.113
GENKAI-3,0,90.9,102.849,103.039,102.948,102.878,102.545,102.422,102.449,102.714,102.817,102.861,93.11
GENKAI-4,101.749,101.908,85.245,0,0,87.005,101.485,101.461,101.498,101.774,101.934,101.988,82.167
IKATA-3,104.32,104.364,104.309,103.912,104.28,104.202,60.146,0,0,37.317,103.954,104.352,77.446
MIHAMA-3,31.813,105.281,105.368,105.268,105.256,104.708,103.838,103.064,103.5,49.02,27.408,105.217,87.406
OHI-3,103.943,33.234,0,76.085,103.539,102.922,101.554,100.63,101.015,102.381,103.2,103.592,86.189
OHI-4,103.927,103.959,103.987,103.913,102.842,102.082,101.483,100.649,101.188,102.591,103.413,44.422,97.786
ONAGAWA-2,0,0,0,0,0,0,0,0,0,0,37.214,76.784,63.313
SENDAI-1,109.063,108.954,109.085,108.943,108.823,47.832,0,2.921,105.11,106.993,107.781,109.007,85.17
SENDAI-2,109.177,109.076,109.184,109.03,108.82,108.074,106.736,105.941,46.868,0,0.085,103.581,84.786
SHIMANE-2,0,0,0,0,0,0,0,0,0,0,0,38.585,38.585
TAKAHAMA-1,85.371,90.68,105.027,104.644,104.384,4.31,0,5.465,102.97,104.296,105.128,105.462,76.37
TAKAHAMA-2,105.689,105.606,105.273,105.009,105.042,104.652,103.719,102.88,103.346,104.762,18.536,0,88.681
TAKAHAMA-3,106.753,106.833,106.634,106.485,106.478,105.778,104.419,103.458,103.854,105.52,106.28,106.665,105.759
TAKAHAMA-4,0,0,0,11.21,106.471,105.774,104.635,103.924,104.247,105.797,106.385,106.7,71.535
HANBIT-1,0,0,0,0,0,7.263,99.92,97.842,98.681,101.231,102.547,103.169,51.152
HANBIT-2,37.379,104.384,104.38,103.878,103.234,102.042,101.406,99.003,99.855,102.674,103.767,104.236,97.09
HANBIT-3,5.568,39.882,102.137,101.943,101.438,101.108,100.726,99.282,99.687,101.352,101.991,102.166,88.227
HANBIT-4,103.992,104.017,104.191,68.208,0,63.294,101.958,101.301,101.782,103.164,103.692,100.484,87.961
HANBIT-5,102.444,102.607,102.566,102.45,102.193,101.551,100.78,99.084,99.259,100.9,101.415,102.012,101.435
HANBIT-6,101.566,101.714,101.749,101.632,101.32,100.74,30.793,0,2.379,100.982,101.551,102.132,78.78
HANUL-1,43.117,102.131,102.11,102.157,102.156,100.913,99.048,99.013,100.951,101.587,101.857,101.92,96.327
HANUL-2,101.581,101.855,101.852,101.778,100.683,101.627,101.502,100.541,100.442,101.17,0.628,29.571,86.973
HANUL-3,75.232,100.497,100.49,100.408,100.361,100.334,82.716,0,0,71.603,100.435,100.293,77.599
HANUL-4,100.568,100.574,100.574,100.475,99.36,100.315,100.092,99.539,99.295,49.871,0,0,79.151
HANUL-5,100.533,100.613,100.709,100.536,100.636,100.519,56.944,0,0,11.006,100.288,100.512,72.51
HANUL-6,100.87,100.901,100.897,48.44,98.496,82.845,98.069,98.237,99.994,100.301,100.846,101.039,94.331
KORI-2,0,0,0,0,0,0,0,0,0,0,0,0,0
KORI-3,101.324,101.367,101.38,101.291,101.187,101.097,100.957,99.984,89.045,0,0,0,74.679
KORI-4,100.902,100.879,100.916,100.914,100.861,100.808,100.768,99.892,98.958,72.735,0,37.298,84.591
SHIN KORI-3,101.889,101.843,101.739,101.394,101.229,101.144,101.255,100.765,99.549,99.943,100.128,51.777,96.821
SHIN KORI-4,101.356,101.606,31.276,0,89.315,102.395,102.527,101.952,100.879,101.212,101.423,101.882,86.346
SHIN-HANUL-1,4.606,0,0,29.199,99.8,98.512,96.92,73.197,98.343,98.677,99.128,99.272,66.672
SHIN-HANUL-2,64.798,15.118,37.392,100.759,100.777,53.347,98.169,100.253,99.528,100.004,100.288,100.443,81.183
SHIN-KORI-1,101.529,101.489,35.668,6.238,100.905,100.874,101.159,100.26,99.563,100.331,100.853,101.066,87.534
SHIN-KORI-2,101.929,101.906,101.892,98.033,2.618,64.029,101.799,100.9,100.217,100.984,101.549,101.781,89.724
SHIN-WOLSONG-1,101.685,101.36,101.676,101.726,101.549,19.498,0,45.945,100.48,100.812,101.438,102.014,81.415
SHIN-WOLSONG-2,0.28,0,74.963,102.09,57.683,72.588,101.434,100.91,99.915,100.309,101.08,101.589,76.291
WOLSONG-2,101.197,101.028,103.484,105.495,93.374,0,0,78.107,100.622,101.918,102.149,103.143,82.502
WOLSONG-3,101.769,101.338,60.436,0,0,0,0,0,0,30.738,102.892,103.514,41.573
WOLSONG-4,100.65,100.617,101.697,65.858,0,0,0,0,31.589,100.149,101.458,102.907,58.614
LAGUNA VERDE-1,87.961,99.78,69.178,98.325,98.126,97.806,76.258,96.591,96.612,97.114,97.752,98.308,92.727
LAGUNA VERDE-2,79.83,95.874,86.783,7.861,55.461,98.968,83.88,95.894,94.734,98.563,98.515,99.212,82.981
BORSSELE,100.903,100.776,100.807,15.531,0,48.317,97.855,97.051,97.599,99.007,100.13,100.771,79.94
CHASNUPP-1,0,38.257,61.229,97.272,98.896,98.162,99.073,96.133,98.807,99.221,99.484,100.381,82.306
CHASNUPP-2,104.482,95.122,96.315,102.767,89.831,56.479,0,16.279,103.368,102.933,100.782,97.104,80.261
CHASNUPP-3,99.671,88.079,94.029,97.131,96.95,96.112,98.002,95.568,88.751,21.254,46.634,92.401,84.555
CHASNUPP-4,99.601,97.986,94.392,26.356,99.418,98.751,53.474,95.187,99.358,100.242,95.702,92.882,87.808
KANUPP-2,59.867,63.971,87.062,89.761,97.668,82.595,86.025,96.7,87.415,93.502,95.654,83.785,85.412
KANUPP-3,75.929,73.8,81.812,91.998,97.939,84.542,100,100,12.794,0,27.419,73.681,68.451
CERNAVODA-1,96.066,95.778,95.584,94.897,55.657,2.801,73.444,83.151,92.385,78.423,93.918,94.569,79.729
CERNAVODA-2,99.41,99.291,99.089,98.533,76.293,95.664,93.904,95.304,97.621,99.566,100.052,99.876,96.181
AKADEMIK LOMONOSOV-1,75.613,71.853,64.159,55.838,41.436,19.306,49.433,63.369,62.678,38.256,40,37.088,51.553
AKADEMIK LOMONOSOV-2,33.833,35.533,40.285,35.048,31.531,22.678,0,0,0,43.582,45.026,40.222,27.284
BALAKOVO-1,107.344,106.973,107.765,106.566,103.88,105,104.731,105.462,104.28,52.01,2.666,106.89,92.864
BALAKOVO-2,107.921,108.469,109.176,106.585,108.248,49.381,65.667,105.993,107.189,108.682,109.381,104.724,99.302
BALAKOVO-3,108.045,108.114,108.106,107.834,107.62,105.373,105.206,27.898,47.763,107.648,108.124,108.111,95.792
